"","sentence","itemId"
"501","A firefighter pours gasoline on a fire to extinguish it.","TOSREC_371"
"502","Mythology refers to true stories of events that happened.","TOSREC_372"
"503","A spendthrift can usually be counted on to spend money for lavish entertainment.","TOSREC_373"
"504","The abolition of slavery resulted in changes for the South.","TOSREC_374"
"505","An adversary is someone who takes your side in any argument.","TOSREC_375"
"506","Some citizens who cannot vote because they are away are able to vote by absentee ballot.","TOSREC_376"
"507","If you want to be friends with someone, the best way is to antagonize the person continuously.","TOSREC_377"
"508","Supporters denounce the candidate they are working for rather than the opponent.","TOSREC_378"
"509","Police officers try to apprehend criminals and to prevent crime.","TOSREC_379"
"510","Drinking a glass of water leads to immediate, extreme discomfort for most people.","TOSREC_380"
"511","An arrogant person may not be liked by others because he conveys the impression that he is better than they are.","TOSREC_381"
"512","Turning on a light switch almost always results in disastrous consequences.","TOSREC_382"
"513","Seeds germinate when conditions are suitable.","TOSREC_383"
"514","Being open to different opinions and ideas is the key characteristic of an intolerant individual.","TOSREC_384"
"515","Guerillas are tiny invertebrates that live under water.","TOSREC_385"
"516","A blood transfusion might be necessary in an operation.","TOSREC_386"
"517","An inaccessible mountain is easily reached.","TOSREC_387"
"518","A cumulative grade-point average never changes.","TOSREC_388"
"519","An inevitable event is unlikely to occur.","TOSREC_389"
"520","Your passport might be scrutinized if you seem suspicious when returning from visiting a foreign country.","TOSREC_390"
"521","After an operation, it may take months to recuperate completely.","TOSREC_391"
